Iteration,Episode,Time of Training,Time of last episode,Reward,Average Action Prob
0,0,3.875414775000536,3.85006408499612,-20.0,0.5007551654584849
0,1,7.222950173993013,3.346967451987439,-21.0,0.5005727799663555
0,2,10.218617717997404,2.9954584869992686,-21.0,0.5010921405091959
0,3,13.188198957999703,2.969373389001703,-21.0,0.5008806895601188
0,4,17.49813135599834,4.3097326300048735,-20.0,0.5001718427562021
0,5,20.487892739998642,2.9895232779963408,-21.0,0.5010086852003922
0,6,23.470899912004825,2.9828023170121014,-21.0,0.5012438696033824
0,7,26.471041715994943,2.9999301659991033,-21.0,0.5008098798955142
0,8,29.711756232005428,3.240498084007413,-21.0,0.500674552151135
0,9,34.04025096699479,4.328275515988935,-20.0,0.5003548849261681
