Iteration,Episode,Time of Training,Time of last episode,Reward,Average Action Prob
0,0,4.471786556998268,4.4653422179981135,-20.0,0.5002550056276606
0,1,8.135565493008471,3.663533383005415,-21.0,0.5002829727139408
0,2,11.477872892006417,3.3420674939989112,-21.0,0.5001737612833097
0,3,15.828533544001402,4.35045516199898,-19.0,0.5002190540635486
0,4,20.162250666006003,4.333482896006899,-21.0,0.5002100189648023
0,5,23.51960068900371,3.3571272709959885,-21.0,0.5001053734168862
0,6,26.871508309006458,3.351701703009894,-21.0,0.50032345153229
0,7,30.47576940500585,3.604049664005288,-21.0,0.4999350187499329
0,8,34.74331735400483,4.267335019001621,-20.0,0.5001976605723886
0,9,39.143750064002234,4.400212590000592,-19.0,0.5000222807429557
