Iteration,Episode,Time of Training,Time of last episode,Reward,Average Action Prob
0,0,3.6654116889999955,3.665407135999999,-21.0,0.5017291509656835
0,1,6.844859475999982,3.139200571999993,-21.0,0.5013184331391116
0,2,9.789739760999993,2.904577267999997,-21.0,0.5030384135694759
0,3,13.502254178999976,3.672134005999993,-20.0,0.5013328730329122
0,4,16.915717125999976,3.372989242999978,-21.0,0.5013420322862596
0,5,19.89341530499999,2.937091525999989,-21.0,0.5020571013424292
0,6,24.082863769,4.148771720000013,-18.0,0.5014589038939838
0,7,27.258528275000003,3.1348017470000116,-21.0,0.5016060408057466
0,8,31.705638617999995,4.406193153000004,-21.0,0.5018466782443219
0,9,34.671971351999986,2.925279802999995,-21.0,0.5010086816274425
1,0,46.964064414999996,3.336249971000001,-21.0,0.5018513039464042
1,1,49.90034834399998,2.891589272999994,-21.0,0.5020827874450863
1,2,53.259108951,3.3139873850000185,-21.0,0.5018695997576865
1,3,56.18641560399999,2.8824275000000057,-21.0,0.5026294500448487
1,4,59.33454395199999,3.1031653569999946,-21.0,0.5013513790096267
1,5,63.33587934299999,3.9563459269999726,-21.0,0.5015501656485175
1,6,66.270970321,2.8900350779999826,-21.0,0.5025029575644118
1,7,69.22773648099997,2.9116624219999494,-21.0,0.5017422306740168
1,8,72.378372995,3.1058714570000348,-21.0,0.5013928706188817
1,9,75.52713069200001,3.104881312000032,-21.0,0.501867872341878
2,0,86.91750711499998,3.1435906979999686,-21.0,0.5041519998492698
2,1,90.81403449300001,3.8552366819999975,-20.0,0.5026393017671213
2,2,94.17266831899997,3.3191279989999884,-21.0,0.5004700073228074
2,3,97.22895573599999,3.0167139229999975,-20.0,0.5029212340509015
2,4,100.37372946400001,3.105728671999998,-21.0,0.5026969215764403
2,5,103.31330045800001,2.9014499470000032,-21.0,0.503614572749516
2,6,106.25064191500002,2.9000588350000385,-21.0,0.5034694956091134
2,7,110.15357199099998,3.8663513079999916,-20.0,0.5021261316820145
2,8,113.307566538,3.1172474130000296,-21.0,0.5030053489550745
2,9,116.24781004300002,2.9034397310000486,-21.0,0.5032458064119214
3,0,127.80249626099999,3.3619515369999817,-21.0,0.5046266037046343
3,1,130.85524702099997,3.017306717999986,-21.0,0.5027049946716254
3,2,134.197673328,3.306951684000012,-21.0,0.5038760902781441
3,3,137.97326533199998,3.7408083809999653,-21.0,0.5037976861643075
3,4,141.31041850999998,3.3030892790000053,-21.0,0.5039265261157968
3,5,144.56059673800002,3.216828306000025,-20.0,0.5024543883038216
3,6,148.53636936099997,3.942874035999978,-21.0,0.5044600626561376
3,7,152.851917211,4.283353137999995,-20.0,0.5037404585040696
3,8,156.40329233799997,3.5198968789999867,-21.0,0.5036959696739199
3,9,159.74414588899998,3.3092866810000032,-21.0,0.5043168403681809
4,0,171.254594407,2.9292798930000004,-21.0,0.5046026658049776
4,1,174.17182885199998,2.887075589999995,-21.0,0.5039399580973567
4,2,177.298902719,3.096819468000035,-21.0,0.5036148259171803
4,3,180.446681296,3.117841300000009,-21.0,0.5046676098626124
4,4,184.038747957,3.5627058919999968,-19.0,0.5038273882833655
4,5,188.85488480499998,4.786860396000009,-21.0,0.5045841082799469
4,6,192.115187672,3.231864127999984,-20.0,0.5055515148237457
4,7,195.035128622,2.8925024900000267,-21.0,0.5046983634402017
4,8,199.13285972299997,4.070344294999984,-20.0,0.5046591962956488
4,9,203.45404136499997,4.295038477999981,-20.0,0.5048826064391014
5,0,215.77955240299997,2.9359207239999705,-21.0,0.5045929150113347
5,1,219.23631586599998,3.4327011479999783,-20.0,0.5063877025288488
5,2,223.36416219199998,4.104215038000007,-18.0,0.5047351752819225
5,3,226.496376951,3.109439834,-21.0,0.505967316786628
5,4,230.801207455,4.283133695999993,-20.0,0.5051177934321974
5,5,233.708168617,2.8863439849999963,-21.0,0.5046959573547672
5,6,236.83331512899997,3.105006307999986,-21.0,0.5053769662571709
5,7,241.03057738500002,4.177542783000035,-21.0,0.5053521240577509
5,8,244.387247538,3.3373053939999977,-21.0,0.5053112315999416
5,9,249.06111542499997,4.655333369999994,-21.0,0.5050685356825205
6,0,261.892599802,3.431900340000027,-20.0,0.5076249936202498
6,1,265.894253178,3.9815459320000173,-19.0,0.5077229614201358
6,2,269.011707,3.0988629500000116,-21.0,0.5071852299641835
6,3,272.353666109,3.323357948000023,-21.0,0.5076902300638659
6,4,275.916635612,3.5443266500000163,-21.0,0.5077084105572488
6,5,280.577158052,4.641915916000016,-17.0,0.5076891788478031
6,6,284.330035549,3.7342084950000185,-21.0,0.5095311840969912
6,7,287.57021077499996,3.2214942269999938,-20.0,0.5098406159147925
6,8,292.49027701899996,4.901446334999946,-20.0,0.5071652009750286
6,9,295.630552049,3.1216142990000435,-21.0,0.5068021102476928
7,0,307.927578354,3.998130462000006,-21.0,0.5080444088970917
7,1,310.835573981,2.8893024700000183,-21.0,0.507221959309779
7,2,314.08222319399994,3.229673158999958,-20.0,0.508379688148483
7,3,317.19838016599994,3.100874200999897,-21.0,0.5100861611097579
7,4,320.51869411800004,3.3050201580000476,-21.0,0.5088891381934538
7,5,324.079339394,3.5454120189999685,-21.0,0.5095928469209915
7,6,327.00490353000004,2.9103096820000474,-21.0,0.5083197226463738
7,7,330.674461493,3.6542821020000247,-20.0,0.5057802317892097
7,8,334.13827503199997,3.4484391720000076,-20.0,0.5090654638202433
7,9,338.15539108,4.001756924999995,-19.0,0.5084440224921116
8,0,350.450135502,3.000702257000057,-21.0,0.5112089216573508
8,1,353.42034545199994,2.9545634229999678,-21.0,0.5129188682151579
8,2,357.08574760999994,3.649770885999942,-20.0,0.5106266222630724
8,3,360.216955317,3.1155909259999817,-21.0,0.5125964813490663
8,4,362.91500106300003,2.6824645860000373,-21.0,0.5112841473697289
8,5,366.15568843499995,3.2250975189999735,-20.0,0.5108150700809193
8,6,369.820419071,3.649142144000052,-20.0,0.512355483816044
8,7,373.48512156500004,3.649106555000003,-20.0,0.5125720804759598
8,8,376.803000542,3.3023112990000527,-21.0,0.5122102549086498
8,9,381.36811865299995,4.5494999699999426,-18.0,0.5119281557989102
9,0,393.05504642700004,3.231556195000053,-20.0,0.5147495572785942
9,1,396.515264373,3.4444945289999396,-20.0,0.5169259912130143
9,2,399.76426936900003,3.2331706370000575,-20.0,0.514218431540273
9,3,403.01020604,3.2301544379999996,-20.0,0.5148104652580049
9,4,406.26203554800003,3.2360753479999858,-20.0,0.5149044036185518
9,5,409.396931768,3.119121283000027,-21.0,0.513575396015903
9,6,412.52848707100003,3.1157358330000307,-21.0,0.5137221513577311
9,7,415.67154599199995,3.127302671999928,-21.0,0.5148397830675717
9,8,418.812606677,3.1253217870000753,-21.0,0.5141739781185766
9,9,422.08242293200004,3.2541168130001097,-20.0,0.514726082701059
10,0,434.287622148,3.23109536700008,-21.0,0.5156398609389783
10,1,437.715405469,3.4103031230000624,-21.0,0.5183066983311486
10,2,441.07583883499996,3.342969702000005,-21.0,0.517986705518817
10,3,444.41353482899996,3.3202719309999793,-21.0,0.5156923990965016
10,4,447.528237638,3.097349609000048,-21.0,0.514575648323814
10,5,450.783936398,3.2383657489999678,-20.0,0.5172062474458463
10,6,453.69974922800003,2.898382457000025,-21.0,0.5193991131899934
10,7,457.15840711699997,3.4412715239999443,-20.0,0.5163278331333905
10,8,460.61969187899996,3.443875096999932,-20.0,0.5171278539015229
10,9,463.54170867199997,2.9047157009999864,-21.0,0.5164775306778366
11,0,476.15425962399996,2.998215543000015,-21.0,0.5205406221554368
11,1,479.683027869,3.5080384059999687,-20.0,0.5197313704449334
11,2,482.99622380700004,3.29250884999999,-20.0,0.5193652957698115
11,3,486.624934903,3.6080112560000543,-21.0,0.5195465708673593
11,4,490.25195332699997,3.6063332699999364,-21.0,0.519755337701772
11,5,493.567611572,3.2950360749999845,-20.0,0.5221966839931449
11,6,496.548782614,2.96055133699997,-21.0,0.5211183773851004
11,7,500.294881071,3.7255300269999907,-20.0,0.5164334160397916
11,8,503.650715241,3.335104537999996,-21.0,0.5216278175397192
11,9,507.84844653399995,4.177090423999971,-21.0,0.5213905410013701
12,0,520.074925372,3.263065421999954,-20.0,0.5218573964027321
12,1,524.0358605890001,3.940229271000021,-21.0,0.5223622942038287
12,2,527.8085270260001,3.7536612549999973,-21.0,0.5255757887229742
12,3,531.041861207,3.216079769999965,-20.0,0.5229391013683916
12,4,534.384812965,3.3257551819999662,-21.0,0.5289240888345507
12,5,537.5220376269999,3.1200300189999552,-21.0,0.5217439247585379
12,6,540.8504725939999,3.3112935599999673,-21.0,0.5228698912739628
12,7,543.7702272839999,2.902608265000026,-21.0,0.5229433008396265
12,8,547.541726419,3.7544584669999495,-21.0,0.5258457747412109
12,9,552.73307183,5.174354419999986,-20.0,0.5244393920019241
13,0,564.629128536,3.152322945000037,-21.0,0.5284527092289104
13,1,567.742539992,3.0963215450000234,-21.0,0.5288236959314825
13,2,571.2773193989999,3.517751483999973,-21.0,0.5288433328834901
13,3,574.4007287950001,3.1064177560000417,-21.0,0.530170102177535
13,4,577.660404038,3.2427443089999315,-20.0,0.5285472206587184
13,5,581.445172488,3.767881260999957,-21.0,0.5285614323362332
13,6,584.365460131,2.9034185510000725,-21.0,0.5288589224920075
13,7,589.0177950949999,4.635500347999937,-21.0,0.5299944423357479
13,8,591.9323021360001,2.8976260440000488,-21.0,0.5257726294775177
13,9,594.849067114,2.8999397759999965,-21.0,0.526773783796494
14,0,607.516271659,4.562016717000006,-20.0,0.5372671254426328
14,1,610.421011244,2.8879646240000056,-21.0,0.5331472219487887
14,2,613.329262638,2.891553685999952,-21.0,0.5319396444817879
14,3,616.573539796,3.227744661000088,-20.0,0.5367210832240625
14,4,619.706425159,3.116256043999897,-21.0,0.5336533231860668
14,5,622.8410962539999,3.118021644999999,-21.0,0.5322048101174293
14,6,626.441006149,3.5833812019999414,-19.0,0.5346229333875805
14,7,629.9124552819999,3.454886035999948,-20.0,0.5359734661070404
14,8,633.0550653600001,3.1260263310000482,-21.0,0.5317555561682767
14,9,636.6115484530001,3.539875318999975,-21.0,0.532834155559243
15,0,648.369568871,2.9460186820000445,-21.0,0.5386653070030644
15,1,651.271227341,2.8851024020000295,-21.0,0.5384442735490507
15,2,654.592959806,3.305305749000013,-21.0,0.536909898904831
15,3,658.9364423899999,4.327164171999925,-18.0,0.5421016653525812
15,4,662.304545637,3.35169023200001,-19.0,0.5387222988354389
15,5,665.963400546,3.6424083349999137,-20.0,0.5376845945962381
15,6,670.051007196,4.071028265999985,-20.0,0.5387573887037579
15,7,674.285090887,4.2174737469999855,-19.0,0.5393357691638563
15,8,678.701974927,4.400235966999958,-21.0,0.5383035936772216
15,9,681.6236732469999,2.9049357640000153,-21.0,0.5422297219533329
16,0,694.9041120469999,3.366804239999965,-21.0,0.5432237067415396
16,1,698.354998458,3.430746372000044,-20.0,0.5445274805598309
16,2,701.795372115,3.421892992000039,-20.0,0.5424051893073328
16,3,704.7095214829999,2.8956995589999224,-21.0,0.5441476246657766
16,4,707.829093973,3.1010790939999424,-21.0,0.5481527340429839
16,5,711.1014133369999,3.2537568770000007,-20.0,0.5451143572157053
16,6,716.1134600390001,4.993503212000064,-16.0,0.5464208837089586
16,7,719.0298392029999,2.89781318200005,-21.0,0.5424530058873148
16,8,722.36129306,3.3128956660000313,-21.0,0.5425802999072604
16,9,725.8105163570001,3.430645107000032,-20.0,0.5435706417155981
17,0,737.625274725,3.152350024000043,-21.0,0.5423849540054125
17,1,740.8611279290001,3.2171925669999837,-20.0,0.5427002236611989
17,2,743.7685545730001,2.8904310059999716,-21.0,0.545376253035484
17,3,747.3055438260001,3.521701044999986,-21.0,0.5407658045187563
17,4,750.42776878,3.1068946130000086,-21.0,0.5455163918965356
17,5,755.731833735,5.28872327299996,-17.0,0.544424736707928
17,6,759.1813550459999,3.434145065999928,-20.0,0.5418104935289951
17,7,763.0598623809999,3.863128925999945,-20.0,0.5453753984027663
17,8,767.612926903,4.537700772999983,-18.0,0.5448932530467788
17,9,771.9129469229999,4.284553131000052,-20.0,0.5432676679232181
18,0,786.156513574,5.1256665910000265,-17.0,0.5535287917372951
18,1,789.904085827,3.732006212999977,-21.0,0.5510873233103696
18,2,793.020933842,3.101262266000049,-21.0,0.5450250678685227
18,3,797.3220853299999,4.2856067200000325,-20.0,0.5450439492365842
18,4,801.8666791630001,4.52901840200002,-18.0,0.5451619363492107
18,5,805.416976043,3.5346407010000576,-21.0,0.5448836159705375
18,6,809.519994281,4.0873491720000175,-20.0,0.5420143101448476
18,7,813.065250573,3.529579922000039,-21.0,0.5468896481417008
18,8,815.979324507,2.898354334999908,-21.0,0.5399574102286828
18,9,819.449878465,3.4548025650000227,-20.0,0.5453132975145007
19,0,833.0811016139999,4.6032852019998245,-16.0,0.5489402580135693
19,1,836.7424726719998,3.6454243159998896,-20.0,0.5507439559470095
19,2,839.9952638689999,3.236898784999994,-20.0,0.544526752739523
19,3,843.5476187279999,3.5365157879998605,-21.0,0.5491532770345263
19,4,847.2080912479998,3.6445621429998027,-20.0,0.548055068195855
19,5,850.967229009,3.7431796780001605,-21.0,0.5483529134157007
19,6,855.265375362,4.282147207999969,-20.0,0.5525782152085342
19,7,859.5766793149999,4.295276934999947,-20.0,0.5516462230042836
19,8,864.118493321,4.525799889999917,-20.0,0.5453961687622094
19,9,868.3738378159999,4.239256557999852,-19.0,0.5518203635612833
20,0,880.218127011,3.1583884330000274,-21.0,0.5502783766022656
20,1,883.3452639669999,3.1109883359999912,-21.0,0.549300378408736
20,2,887.7640701519999,4.402636496000014,-19.0,0.5492455917249084
20,3,891.423171294,3.642845361000127,-20.0,0.5529074878365797
20,4,894.3301186859999,2.890718246000006,-21.0,0.5586471732638099
20,5,897.8757858499998,3.529306055999996,-21.0,0.5518610297540082
20,6,901.9809934329999,4.088829132000001,-20.0,0.5524045593511845
20,7,905.1098037219999,3.112437077000095,-21.0,0.5508400156146894
20,8,908.9899323239999,3.86365162900006,-20.0,0.5525232382008511
20,9,912.113286557,3.106853004000186,-21.0,0.55134742162306
